,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
208,-15782.03032,-31797.23403,-64221.23333,-19668.75281,-35415.53443,-97559.95543,-10109.71637,2489.269076498637,11935.049228078036,-60532.25673,-98265.08591,-111607.021,-15004.03315,-12944.14108,-19854.92049,-24539.55555,N,,,,,,,,,,,,,,
210,-17459.59579,-33471.58086,-63537.47112,-18716.45674,-34944.71728,-96953.86552,-9473.093983,748.2693491303145,11818.57428772143,-60757.29409,-98471.19134,-111944.9123,-15286.6039,-13575.80138,-20107.02581,-24623.86633,N,,,,,,,,,,,,,,
212,-16104.07425,-32129.00098,-63843.82413,-19203.05421,-35083.43221,-97233.26233,-9718.650248,2206.184232972173,11040.912394632387,-60317.56822,-98042.08255,-111336.319,-14696.80842,-14128.06828,-19385.93619,-24032.57329,N,,,,,,,,,,,,,,
214,-16551.9138,-32560.68022,-64040.58654,-19349.68166,-35292.06339,-97433.22103,-9952.807123,1661.114592685055,12376.697346770448,-60811.51942,-98568.0191,-112022.0929,-15303.72534,-12658.68695,-20262.14692,-24858.89493,N,,,,,,,,,,,,,,
216,-17190.48079,-33212.5912,-63403.9865,-18578.18885,-34749.87713,-96860.50229,-9297.431624,1072.7496233880072,11015.565516420069,-60458.65243,-98179.34462,-111569.1124,-14828.32609,-14477.64957,-19490.52,-24049.53826,N,,,,,,,,,,,,,,
218,-15751.87781,-31770.41194,-64212.82908,-19626.77623,-35340.1867,-97605.59769,-10080.83792,2516.4040942673796,11883.908436764294,-60574.12154,-98331.44824,-111707.4921,-14965.02935,-12990.99034,-19836.92733,-24511.88409,N,,,,,,,,,,,,,,
220,-17418.33447,-33437.60621,-63521.53433,-18661.65026,-34867.73787,-96995.86445,-9433.754913,767.0671662172277,11839.339058320411,-60803.18222,-98540.99584,-112054.8382,-15239.64289,-13546.36413,-20075.64397,-24596.08312,N,,,,,,,,,,,,,,
222,-16087.73513,-32116.50635,-63807.07786,-19122.85615,-35004.57525,-97259.01154,-9660.558064,2196.8412037898547,11041.493539988225,-60337.08129,-98084.305,-111411.8009,-14601.52293,-14123.06149,-19288.25906,-23954.09631,N,,,,,,,,,,,,,,
224,-16500.92947,-32516.06614,-64036.80909,-19327.50873,-35241.21317,-97488.89923,-9933.383457,1690.0601017546776,12361.386401818563,-60852.8478,-98626.78184,-112114.1821,-15249.70117,-12653.65781,-20213.64364,-24820.67344,N,,,,,,,,,,,,,,
226,-17199.66736,-33226.96337,-63402.44423,-18571.75154,-34704.10075,-96916.13578,-9287.552153,1040.7642770724628,11007.138908760418,-60518.08572,-98254.33472,-111678.0772,-14802.57688,-14483.30456,-19476.25959,-24036.88717,N,,,,,,,,,,,,,,
0,-8601.621819,-16619.93016,-31097.13269,-9084.978293,-17338.15877,-47181.42565,-4419.275155,515.878262,7888.310597933602,-29000.00262,-46011.35653,-40456.54571,3182.687244735628,-5230.352906,-10068.20918,-6403.059531,N,,,,,,,,,,,,,,
2,-15705.65441,-31739.0748,-62965.55703,-19182.49061,-35215.39691,-95073.81559,-9568.245359,2558.581836054544,11441.098027360205,-57754.40428,-95127.43743,-107529.6605,-13998.8752,-13487.55669,-19838.64842,-23984.96407,N,,,,,,,,,,,,,,
4,-17034.73384,-33055.99487,-62699.54892,-18732.95232,-35083.3875,-94855.26024,-9348.885339,1124.8068362244173,12237.065999158145,-58238.05132,-95614.70546,-108198.1564,-14592.24696,-12919.3083,-20559.46983,-24570.62448,N,,,,,,,,,,,,,,
6,-16591.36463,-32628.45071,-62507.16746,-18569.20344,-34873.77284,-94686.23634,-9113.677932,1668.0212817217448,10873.095497261942,-57782.14279,-95136.19931,-107562.741,-13973.93065,-14446.02185,-19660.81794,-23720.92291,N,,,,,,,,,,,,,,
8,-15941.19709,-31964.76036,-63170.05314,-19356.70011,-35413.29925,-95305.96081,-9782.10685,2270.758422703555,12260.088295947111,-58183.73658,-95578.58504,-108095.5172,-14467.7701,-12600.25949,-20425.82875,-24521.5177,N,,,,,,,,,,,,,,
10,-17394.50751,-33426.25152,-62350.88406,-18276.64146,-34795.89937,-94576.17635,-8967.631634,805.9368498250068,11431.59854,-58132.88637,-95490.04978,-108048.3774,-14362.24751,-14041.38822,-20094.28532,-24074.50516,N,,,,,,,,,,,,,,
12,-15678.31822,-31714.8008,-63029.1254,-19196.41575,-35253.7525,-95203.79099,-9585.120927,2593.428205660368,11458.55474,-57934.98402,-95316.0191,-107755.4578,-14068.83616,-13487.93667,-19803.15385,-23956.33149,N,,,,,,,,,,,,,,
14,-16990.45503,-33015.42646,-62778.53999,-18763.3507,-35135.66823,-95002.22296,-9383.664654,1177.1769734832017,12278.707299078382,-58425.73892,-95809.72443,-108432.3133,-14662.65496,-12875.87886,-20521.04718,-24559.06863,N,,,,,,,,,,,,,,
16,-16589.73296,-32623.80154,-62549.3452,-18548.99747,-34902.80776,-94803.18067,-9109.587563,1679.1971539493984,10928.147843855364,-57956.5311,-95318.25427,-107788.4266,-14017.56126,-14405.47578,-19584.0844,-23681.74031,N,,,,,,,,,,,,,,
18,-15948.17083,-31970.3483,-63246.47376,-19398.45316,-35455.99108,-95457.50564,-9814.539232,2271.965416904142,12275.756868810282,-58367.49028,-95765.19975,-108326.9025,-14525.99639,-12607.63557,-20366.239,-24505.75972,N,,,,,,,,,,,,,,
20,-17452.04091,-33481.25916,-62437.43002,-18341.81915,-34842.10042,-94737.55595,-9018.57126,750.4821718313899,11438.21465232547,-58339.23767,-95697.40691,-108305.2213,-14455.99073,-14056.72152,-20092.34072,-24105.88701,N,,,,,,,,,,,,,,
22,-15731.873,-31766.29922,-63103.08732,-19255.80433,-35287.43658,-95351.69248,-9628.751532,2548.0318126716393,11404.821146109241,-58127.4996,-95507.55119,-107993.3698,-14146.70964,-13563.59733,-19793.87788,-23970.79306,N,,,,,,,,,,,,,,
24,-16982.63192,-33009.16797,-62862.98488,-18832.28348,-35175.09671,-95159.37807,-9432.480864,1193.002008557559,12285.189304970421,-58617.82981,-96001.23417,-108678.406,-14744.46234,-12869.75448,-20523.9529,-24588.41647,N,,,,,,,,,,,,,,
26,-16641.61135,-32681.73727,-62613.56176,-18591.71165,-34919.95155,-94940.10746,-9140.097694,1631.0514963926669,10906.667817433812,-58148.51024,-95506.27714,-108035.0111,-14100.35212,-14444.52428,-19584.93377,-23707.17659,N,,,,,,,,,,,,,,
28,-15917.19132,-31939.92757,-63308.5222,-19429.14211,-35478.47694,-95590.00678,-9838.366191,2313.718475546655,12249.89590047549,-58540.17985,-95939.11868,-108557.1255,-14587.15076,-12618.43146,-20341.38386,-24516.91324,N,,,,,,,,,,,,,,
30,-17457.83001,-33486.82475,-62501.44541,-18359.38762,-34868.52018,-94870.48177,-9042.822903,747.4423345854682,11475.072678932273,-58508.7533,-95877.74079,-108540.0934,-14505.41043,-14005.73719,-20054.49922,-24114.58184,N,,,,,,,,,,,,,,
32,-15769.26747,-31803.47017,-63183.82182,-19299.07731,-35325.47925,-95497.58232,-9674.863181,2512.2466697986924,11363.67158456702,-58297.39521,-95690.47787,-108229.4042,-14213.96604,-13599.15895,-19771.83906,-23985.85814,N,,,,,,,,,,,,,,
34,-16992.66785,-33014.89002,-62965.24411,-18910.71575,-35226.46102,-95324.13278,-9498.977303,1187.9281625662045,12240.396409081986,-58806.92557,-96204.99268,-108937.3733,-14857.98685,-12902.0751,-20572.81382,-24653.43769,N,,,,,,,,,,,,,,
36,-16686.69482,-32725.41257,-62687.90367,-18626.938,-34954.06031,-95078.80003,-9175.949893,1582.8387836025697,10901.102233064441,-58318.04822,-95695.73053,-108280.0756,-14182.96417,-14459.83523,-19596.93665,-23735.94329,N,,,,,,,,,,,,,,
38,-15861.53547,-31890.9549,-63357.8525,-19423.64358,-35496.91713,-95712.6955,-9839.014392,2360.210104013694,12247.61602254105,-58691.25529,-96111.1377,-108776.0161,-14640.14675,-12621.67247,-20319.56855,-24516.75677,N,,,,,,,,,,,,,,
40,-17460.3334,-33493.21735,-62568.16537,-18383.16988,-34893.42003,-95012.72828,-9071.075508,731.5725960222002,11489.534257594856,-58679.163,-96067.77532,-108784.8674,-14590.1906,-13998.36111,-20068.31259,-24145.09197,N,,,,,,,,,,,,,,
42,-15743.07123,-31779.01736,-63197.18816,-19251.95983,-35309.02836,-95592.46547,-9642.117875,2525.680068216332,11359.603567076156,-58430.92453,-95842.6262,-108429.05,-14242.3304,-13619.99078,-19715.82558,-23954.16337,N,,,,,,,,,,,,,,
44,-16937.97313,-32958.47421,-63002.52682,-18883.31251,-35228.94206,-95440.60772,-9492.316484,1227.0660671074472,12294.91231380848,-58931.29068,-96351.55306,-109130.2912,-14860.5126,-12837.99265,-20485.35144,-24618.99365,N,,,,,,,,,,,,,,
46,-16684.23613,-32719.64582,-62695.3468,-18558.11698,-34928.3558,-95170.75511,-9142.399924,1574.7698038542037,10910.288800035572,-58454.57267,-95854.29381,-108483.9682,-14197.93984,-14452.61561,-19522.68416,-23717.83837,N,,,,,,,,,,,,,,
48,-15869.60445,-31893.34654,-63419.87859,-19437.47931,-35494.03375,-95848.99644,-9867.937549,2344.6756416172557,12217.575277993117,-58831.44544,-96268.38222,-108978.0982,-14671.99798,-12642.19137,-20262.92923,-24515.1698,N,,,,,,,,,,,,,,
50,-17513.5082,-33539.73133,-62640.76384,-18407.68974,-34890.49195,-95156.33823,-9111.59922,676.8108221066979,11487.902580249618,-58832.42891,-96238.6544,-109004.138,-14642.04665,-14004.0161,-20051.32527,-24173.27752,N,,,,,,,,,,,,,,
52,-15768.23929,-31800.51974,-63269.67487,-19271.4729,-35311.88939,-95731.8286,-9679.624102,2508.111597074461,11287.809763885709,-58591.343,-96025.66463,-108656.0543,-14330.35157,-13684.52027,-19744.8158,-24004.41009,N,,,,,,,,,,,,,,
54,-16903.73026,-32931.74153,-63079.41682,-18898.26583,-35225.41049,-95584.10592,-9521.954897,1261.0854221684244,12294.442927174918,-59083.50606,-96533.63038,-109348.0643,-14934.65333,-12831.15302,-20507.2338,-24658.69035,N,,,,,,,,,,,,,,
56,-16706.9455,-32748.7478,-62770.58277,-18565.89539,-34924.4666,-95307.99482,-9172.731241,1546.4277918848745,10901.683378420279,-58606.38572,-96035.00766,-108702.2106,-14276.08154,-14468.73122,-19546.9358,-23743.98991,N,,,,,,,,,,,,,,
58,-15798.12357,-31830.20286,-63489.79485,-19423.17419,-35497.163,-95981.98932,-9880.476878,2418.011715175118,12258.85895000207,-58965.5559,-96434.74626,-109190.2833,-14723.63051,-12576.81251,-20245.56193,-24508.48663,N,,,,,,,,,,,,,,
60,-17479.91353,-33513.08805,-62688.84244,-18362.67333,-34866.68734,-95270.06391,-9099.663389,706.2480695543372,11528.739217369464,-58985.02427,-96424.93384,-109227.2978,-14712.90168,-13954.19406,-20054.00748,-24186.80032,N,,,,,,,,,,,,,,
62,-15789.76402,-31825.93367,-63323.31906,-19244.20378,-35285.93901,-95851.20927,-9682.216904,2481.647131639377,11298.80682215772,-58712.08712,-96177.34357,-108835.2706,-14341.14746,-13693.50567,-19671.34561,-23966.36742,N,,,,,,,,,,,,,,
64,-16900.24339,-32924.92425,-63190.99673,-18957.90028,-35251.07029,-95749.1959,-9591.155898,1272.261294396078,12276.539179866217,-59243.87982,-96720.46861,-109575.7615,-15024.68616,-12843.17825,-20538.70506,-24713.20626,N,,,,,,,,,,,,,,
66,-16722.45761,-32759.34252,-62835.26872,-18559.79336,-34921.85145,-95432.33757,-9186.030529,1536.9506522358242,10939.100198638464,-58768.30176,-96221.06358,-108942.5813,-14361.68872,-14429.54861,-19564.41487,-23792.78377,N,,,,,,,,,,,,,,
68,-15835.33923,-31864.31162,-63576.96665,-19468.34707,-35493.43026,-96126.471,-9922.341695,2389.3120752945038,12184.248827010255,-59122.59926,-96615.01308,-109395.2712,-14803.82857,-12671.74037,-20270.77469,-24572.92671,N,,,,,,,,,,,,,,
70,-17418.6921,-33454.63824,-62786.22899,-18402.7053,-34909.96032,-95425.20737,-9156.839151,764.6978813049652,11567.586549232788,-59142.51466,-96604.35129,-109451.4188,-14789.05407,-13887.13883,-20070.41366,-24264.33852,N,,,,,,,,,,,,,,
72,-15780.91273,-31823.63144,-63402.80186,-19269.68476,-35299.08184,-95987.93489,-9717.577364,2490.4090154658575,11290.670787175988,-58895.77376,-96373.99422,-109084.3808,-14458.24825,-13713.35402,-19716.18321,-24061.11646,N,,,,,,,,,,,,,,
74,-16819.75476,-32847.65426,-63253.89454,-18953.36288,-35259.38514,-95876.82436,-9600.275409,1351.4758767456863,12349.294108068241,-59381.76774,-96875.74618,-109767.5395,-15042.43345,-12756.94522,-20467.17947,-24726.59495,N,,,,,,,,,,,,,,
76,-16787.83647,-32827.26947,-62927.93905,-18610.17419,-34938.92818,-95585.69289,-9242.379277,1469.9401223588136,10939.770750972122,-58948.16625,-96410.51697,-109181.9461,-14453.7332,-14436.96939,-19561.30797,-23861.29187,N,,,,,,,,,,,,,,
78,-15866.81048,-31898.21922,-63688.07717,-19557.8211,-35517.70425,-96291.11395,-9998.650551,2356.2314935006493,12140.886442766958,-59296.29466,-96801.73955,-109625.0024,-14899.91872,-12719.61781,-20282.33055,-24637.99264,N,,,,,,,,,,,,,,
80,-17424.16828,-33460.22617,-62874.49603,-18463.21147,-34928.69108,-95567.1633,-9202.593172,764.899047,11550.040429835371,-59338.53946,-96812.6472,-109713.18,-14927.23255,-13907.2107,-20148.51065,-24373.90678,N,,,,,,,,,,,,,,
82,-15792.66975,-31829.12997,-63452.80271,-19279.1172,-35297.2937,-96098.59837,-9718.337323,2484.8434310964863,11318.85633693413,-59028.49841,-96523.86266,-109278.461,-14485.80795,-13694.22092,-19649.97734,-24058.18839,N,,,,,,,,,,,,,,
84,-16814.56915,-32843.29567,-63356.62316,-19037.18192,-35293.78447,-96034.42651,-9661.183913,1353.3087197910213,12332.351485771118,-59553.96557,-97062.60676,-109999.4612,-15139.73059,-12773.12789,-20495.99087,-24805.3625,N,,,,,,,,,,,,,,
86,-16790.65279,-32835.09258,-62979.52687,-18622.06532,-34942.37035,-95699.97736,-9247.833103,1458.1607530308668,10953.11474241194,-59105.18725,-96583.65358,-109399.4509,-14519.89436,-14432.18612,-19557.01644,-23905.50362,N,,,,,,,,,,,,,,
88,-15813.70274,-31850.58765,-63731.84189,-19556.23413,-35521.03466,-96402.22447,-9989.620446,2415.463616307213,12147.860187037015,-59437.06595,-96954.2455,-109824,-14938.34137,-12705.64797,-20242.90207,-24653.68356,N,,,,,,,,,,,,,,
90,-17480.94171,-33513.19981,-62977.80579,-18542.78368,-34964.29741,-95731.64978,-9269.827219,711.0983981011389,11592.24052336699,-59487.91617,-96974.92087,-109927.9803,-14968.51623,-13858.50625,-20114.91598,-24394.29157,N,,,,,,,,,,,,,,
92,-15806.03609,-31842.54102,-63506.08927,-19285.5545,-35288.46476,-96216.34736,-9720.952478,2481.2000967502713,11237.205414438893,-59202.64086,-96707.34813,-109513.1766,-14589.69886,-13786.176,-19698.16771,-24117.37581,N,,,,,,,,,,,,,,
94,-16794.43023,-32818.30642,-63417.26344,-19053.56575,-35290.8564,-96163.82076,-9672.94093,1388.6021242859513,12356.469018038395,-59690.0877,-97212.29639,-110197.6764,-15173.25821,-12744.98704,-20458.32818,-24804.15551,N,,,,,,,,,,,,,,
96,-16834.61867,-32875.34808,-63024.47623,-18618.75726,-34926.92529,-95815.24531,-9246.849626,1429.0364300056017,10956.512207569147,-59251.12179,-96741.68041,-109610.8761,-14572.44332,-14445.12778,-19540.09617,-23919.02642,N,,,,,,,,,,,,,,
98,-15800.49286,-31832.39333,-63771.49388,-19543.89597,-35500.00167,-96512.55268,-9976.611731,2443.4256486208023,12143.233375934766,-59558.36887,-97087.08192,-110003.4174,-14954.59109,-12720.26601,-20185.99453,-24636.62918,N,,,,,,,,,,,,,,
100,-17482.88631,-33515.6138,-63021.34699,-18534.89352,-34953.99326,-95844.43669,-9260.975928,724.1071133741276,11622.34832314829,-59626.83226,-97126.39864,-110124.5862,-15007.74354,-13837.65207,-20088.74209,-24409.64722,N,,,,,,,,,,,,,,
102,-15864.77648,-31904.88004,-63562.88505,-19306.83336,-35282.20627,-96337.40441,-9735.436408,2431.7133345262214,11233.025638225752,-59325.37428,-96842.66559,-109688.3472,-14606.35091,-13810.5394,-19644.79174,-24106.13288,N,,,,,,,,,,,,,,
104,-16828.09196,-32850.0012,-63519.2768,-19146.48195,-35310.95061,-96320.93117,-9738.900928,1360.483629761175,12324.237802533842,-59839.3303,-97372.62545,-110399.848,-15245.99078,-12776.83828,-20492.77222,-24855.89979,N,,,,,,,,,,,,,,
106,-16873.4213,-32907.17696,-63079.37212,-18642.22659,-34913.96128,-95929.57448,-9265.200408,1394.1677086553227,10922.224631574707,-59404.18654,-96907.30684,-109825.8775,-14662.85612,-14485.65149,-19602.0552,-23976.69393,N,,,,,,,,,,,,,,
108,-15837.44029,-31864.0434,-63846.52869,-19594.925,-35490.56923,-96643.24333,-10018.67771,2411.440302305258,12113.39379708693,-59680.96819,-97228.94844,-110189.898,-15001.68622,-12747.49044,-20193.77294,-24647.35802,N,,,,,,,,,,,,,,
110,-17496.74439,-33528.06372,-63072.95717,-18542.94014,-34927.10411,-95954.8096,-9275.705728,706.4715869988903,11606.098604929282,-59762.70852,-97284.44782,-110334.6703,-15085.10293,-13852.58303,-20140.95576,-24450.26034,N,,,,,,,,,,,,,,
112,-15903.08737,-31936.01602,-63575.55849,-19260.43114,-35224.47172,-96419.74824,-9716.459777,2394.140052,11196.055852896674,-59427.4994,-96965.26491,-109862.3109,-14632.97184,-13860.65201,-19622.17177,-24085.16694,N,,,,,,,,,,,,,,
114,-16809.02592,-32829.07997,-63519.38856,-19075.4034,-35243.73892,-96393.6414,-9700.746501,1381.5836765269848,12313.374854728563,-59918.88015,-97482.43958,-110547.973,-15239.8217,-12785.13077,-20437.67517,-24816.8513,N,,,,,,,,,,,,,,
116,-16936.36381,-32972.95814,-63085.18357,-18582.12275,-34853.87979,-96004.92221,-9242.714553,1336.5896149384516,10914.803852415545,-59475.73447,-97012.02476,-109962.2902,-14637.0175,-14501.61064,-19528.42856,-23927.58714,N,,,,,,,,,,,,,,
118,-15793.96615,-31822.15623,-63825.16042,-19491.01174,-35420.40711,-96696.97692,-9962.463076,2460.6364918513887,12088.985692141736,-59744.44714,-97326.58086,-110317.5265,-14979.62504,-12777.57588,-20123.61081,-24604.64383,N,,,,,,,,,,,,,,
120,-17466.59189,-33490.78101,-63055.58986,-18442.35729,-34872.00706,-96015.87457,-9233.013896,742.9943374388621,11683.480344233554,-59815.77156,-97373.65364,-110459.1024,-15032.53162,-13770.88741,-20025.73252,-24389.79887,N,,,,,,,,,,,,,,
122,-15918.89005,-31950.14232,-63576.36316,-19191.40896,-35179.38825,-96489.35157,-9700.008893,2388.3733020273808,11194.781803462722,-59487.20091,-97061.73504,-109992.7333,-14605.74741,-13877.7511,-19531.69191,-24045.22437,N,,,,,,,,,,,,,,
124,-16761.90844,-32783.88474,-63565.47786,-19061.67943,-35240.02853,-96500.19217,-9728.373257,1439.8770260664257,12338.185291073954,-59997.33478,-97596.0982,-110699.0708,-15245.20847,-12756.76641,-20389.48481,-24816.896,N,,,,,,,,,,,,,,
126,-16918.32595,-32951.45577,-63102.95321,-18529.12677,-34827.28122,-96085.74612,-9233.7068,1358.6507867158398,10963.21773090574,-59571.46699,-97139.89909,-110138.3773,-14665.47128,-14463.74678,-19496.08558,-23940.55115,N,,,,,,,,,,,,,,
128,-15794.32378,-31817.01533,-63885.30897,-19511.50829,-35410.14766,-96812.28957,-9998.248219,2467.1632012323385,12109.906924951903,-59827.12624,-97439.61363,-110466.0538,-14977.8369,-12764.18719,-20057.98609,-24592.708,N,,,,,,,,,,,,,,
130,-17509.619,-33530.29889,-63152.66349,-18523.96351,-34884.25581,-96159.26101,-9306.908763,702.6494386970328,11666.44831495861,-59945.52343,-97532.0828,-110650.4781,-15113.28848,-13785.93013,-20077.43211,-24466.21948,N,,,,,,,,,,,,,,
132,-15941.04063,-31968.69427,-63629.4262,-19216.48761,-35174.13559,-96597.69047,-9719.879594,2369.955464596208,11161.187131546394,-59603.11706,-97203.22158,-110166.7193,-14665.00189,-13915.41379,-19561.35268,-24087.8715,N,,,,,,,,,,,,,,
134,-16760.65675,-32775.7487,-63625.29112,-19100.14678,-35247.69518,-96617.96351,-9755.441219,1440.927558055825,12334.96663987239,-60102.47738,-97726.02889,-110865.3454,-15280.32306,-12752.96661,-20395.63154,-24842.28758,N,,,,,,,,,,,,,,
136,-17002.8379,-33029.93274,-63136.32436,-18534.64765,-34825.33661,-96179.66815,-9243.474513,1265.421660592754,10924.906840909343,-59683.87391,-97270.34387,-110318.1747,-14717.55084,-14510.97602,-19515.55395,-23967.68617,N,,,,,,,,,,,,,,
138,-15801.14106,-31825.0396,-63874.40132,-19453.59492,-35387.59475,-96866.44785,-9951.466018,2451.561683602534,12043.298726475088,-59911.03469,-97539.66004,-110618.3586,-15002.93791,-12827.82261,-20037.73541,-24584.86254,N,,,,,,,,,,,,,,
140,-17473.99032,-33499.07351,-63094.72777,-18388.46724,-34845.43083,-96179.62345,-9209.410454,719.9273371609852,11704.69214972164,-59993.89261,-97601.2838,-110774.3291,-15069.83668,-13744.64646,-19971.86482,-24402.31584,N,,,,,,,,,,,,,,
142,-15956.7539,-31987.78266,-63560.49342,-19073.92819,-35123.86651,-96606.45236,-9621.93425,2341.0993625044066,11139.796512102666,-59640.62329,-97258.98919,-110272.8007,-14604.9204,-13954.35053,-19426.05757,-24001.79493,N,,,,,,,,,,,,,,
144,-16688.66178,-32710.3028,-63569.12119,-18969.61259,-35212.8041,-96634.12382,-9661.318023,1511.2461461122211,12358.54773027274,-60134.48508,-97778.22021,-110961.7932,-15215.39124,-12728.04442,-20262.92923,-24770.00204,N,,,,,,,,,,,,,,
146,-16987.12462,-33022.26609,-63079.01449,-18403.93465,-34792.70307,-96194.95674,-9148.591357,1282.744262545617,10997.259437711173,-59712.32768,-97321.9317,-110408.6546,-14632.61421,-14455.83426,-19356.38718,-23884.00124,N,,,,,,,,,,,,,,
148,-15768.03813,-31795.98234,-63866.39939,-19401.78357,-35396.82602,-96925.45646,-9916.306724,2500.690817915299,12062.744744151205,-59953.95004,-97605.86591,-110711.2748,-14936.73205,-12815.6409,-19912.05155,-24525.94334,N,,,,,,,,,,,,,,
150,-17494.15159,-33520.21826,-63166.20864,-18457.7353,-34913.24603,-96305.06144,-9266.474458,715.3899330365579,11725.568679042897,-60105.78544,-97727.30294,-110938.2568,-15104.5713,-13727.12269,-19980.80551,-24452.42845,N,,,,,,,,,,,,,,
