1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-34079.83888147341,-104798.50081187497,-96731.15274085436,-15773.804876065837,-172817.51904696453,-187500.02235174447,-34362.92372499988,-37100.05129576341,-66320.86680184207,-56001.736939160466,-187500.02235174447,-95125.09049476273,-12799.704110587134,-96821.6996576428,-124137.92301868476,-148490.1933062307,A
-29256.801814651706,-111053.12240757018,-103889.20949568863,-20806.59071285614,-180349.565190025,-187500.02235174447,-41640.09292603647,-41850.80282101665,-71310.02203345562,-32570.202060961972,-187500.02235174447,-96307.4307212151,-18845.180433414036,-98975.5584568451,-130328.08218337086,-152924.13120557443,A
-39506.21658637722,-97757.00840437513,-89687.89454554256,-11110.113395466018,-165965.39061849006,-187500.02235174447,-31351.42849104744,-32689.448617631035,-69203.59363598748,-49846.58060629137,-187500.02235174447,-94548.84017096045,-15016.795994853497,-97158.182818673,-126280.94122182623,-150421.74165508052,A
-28393.510388554383,-99041.09377158807,-90418.70718225327,-19937.66664715608,-166552.14626218632,-187500.02235174447,-37206.08797145939,-41608.71107682122,-55854.23777749989,-45893.94282030378,-187500.02235174447,-85520.97058546192,-14701.256418377927,-88819.79749438733,-120690.92639576513,-139893.39946429725,A
-36207.7473053631,-96047.7705058778,-88208.76785621261,-13892.79382142947,-163968.88810025313,-187500.02235174447,-34712.1920838585,-35562.43009119393,-67021.14695562684,-36045.65245457321,-187500.02235174447,-90567.45804160334,-18307.375110074892,-94192.10632945376,-127250.5822480419,-148158.89574991414,A
-35627.205446625405,-84672.36425547174,-75238.67639764266,-14538.558070487747,-150092.94749414295,-187500.02235174447,-29592.748533814975,-36254.39539604133,-49223.48102611078,-58734.95295464432,-187018.87870059954,-79597.9818222501,-11926.2649925071,-83238.23162773033,-115504.58407456685,-133168.05013037327,A
-29346.52171689531,-89911.14376916215,-81439.36323396722,-18230.865088804378,-155660.92350017113,-187500.02235174447,-36430.191866182315,-40486.13941504234,-53139.23843374711,-35187.4572262117,-187500.02235174447,-79812.51386553215,-17598.780107352748,-84211.91831969241,-120710.08184076332,-135898.00279116665,A
-41594.115387691905,-76055.63265748414,-66948.01204776908,-10505.230487016499,-139722.05099130285,-187500.02235174447,-26550.34083728085,-32423.060527212685,-50928.0697617614,-52230.66237338333,-185246.69828971606,-77700.18460752782,-14092.573713371004,-81880.38550381488,-116919.78477475462,-132720.47879940018,A
-29104.22880699978,-76439.50151675958,-66872.0831718544,-18278.854284149922,-138415.70328661244,-187500.02235174447,-32126.944616668778,-40703.15250195891,-36946.11483169971,-49125.8933098189,-174500.38188700462,-67976.25934794657,-13673.679670534095,-72630.04900575269,-110918.69901641597,-120845.71222611812,A
-36352.05016756656,-73799.76049658781,-65239.06472194967,-12462.908025134568,-135350.18388631154,-187500.02235174447,-30467.528756562326,-35111.908329952756,-48132.939414136345,-37445.43045108682,-180088.27329734247,-72808.66179569505,-17309.19090618979,-77527.76325079957,-117217.28649345477,-128340.94504606069,A
-36237.20690455519,-62795.86259077342,-52933.78119871393,-13737.516252698453,-121070.25785091614,-184283.02517926996,-25957.5278708372,-35900.29906038035,-31383.34678212962,-60232.94451629455,-165839.84086988462,-62396.951007479554,-11347.53362507029,-66852.57009894493,-106351.74588581872,-113580.09887696493,A
-28625.879123911756,-68797.93182586812,-60138.888375626615,-16684.325538197227,-126777.73109408989,-187500.02235174447,-33393.64032669548,-39875.601515245624,-35939.079337010306,-35826.96298682249,-165259.14254893572,-63023.91743945092,-16926.86431728176,-67865.1711780037,-111564.6867829188,-116089.30570951769,A
-41125.04167855283,-55979.69811912753,-47029.59025258902,-9184.935293785966,-111418.05933929198,-178710.55647260626,-24177.88197730565,-31847.078424343876,-35293.404494929855,-52048.428600839216,-163052.06424618536,-61961.919005145915,-13670.863350732727,-66224.75430068426,-108601.5830757121,-113636.8723078814,A
-28596.307765997382,-57084.3213301088,-47930.477312860174,-17003.866076930295,-110419.04812086203,-179841.57709378924,-30056.32371381804,-40074.755558342404,-22197.91974996564,-49331.752876252285,-149769.8977315304,-52960.69269903812,-13134.846166950008,-57342.39457158978,-102914.44991999268,-101986.74076637517,A
-35282.8768232914,-55722.69776138041,-47882.28695181453,-11258.596033882623,-108363.91697691882,-178203.32833568196,-29042.046253925117,-34589.27984109877,-34642.49934464686,-36896.71747645348,-155871.27576724003,-58724.33587602805,-16908.15590717267,-62851.518434467136,-109832.2701254213,-110084.30839589935,A
-35375.547155803106,-45764.19094374072,-36895.82340667527,-12451.329821506719,-94948.75758275481,-170989.10164703152,-24824.830868820056,-35194.67683967076,-19423.263600261642,-59509.3961965318,-142553.39116494553,-49486.42694788301,-10985.234199194218,-53029.87134812729,-99638.08651424486,-96210.1112258567,A
-27042.77211937572,-53381.576047131544,-45947.25173082969,-15652.1443309956,-102198.9705799783,-176414.65233739046,-32994.68403991271,-39410.931099764246,-25126.35590152215,-34754.682750068045,-142764.3469291147,-51111.4658250172,-16595.253836542826,-54748.11699964011,-105383.8259439261,-99392.2620287254,A
-39501.90269969734,-42604.52599579406,-35191.43583672474,-8381.434784106586,-88984.66396148968,-167988.6034713511,-24608.77890691506,-31454.917067875514,-26747.416168143296,-49868.03828096847,-142396.07958746905,-51768.11537362521,-13643.3707050527,-54543.15150298495,-103623.3578471372,-98619.33870546088,A
-26692.855559927888,-45615.708305324115,-38217.70557376213,-16306.871629580455,-90042.59437830382,-170498.7043736821,-31102.452409559777,-39682.75066408523,-15356.877786740994,-47374.634131745595,-130796.39593319845,-44264.0983181117,-13052.748209565665,-46858.93468367275,-98680.15780212377,-88259.55101961506,A
-11396.551000660778,-27507.286072645915,-27684.825978854416,-9286.099289190684,-37323.12170542737,-87650.9353698415,-19957.872624143678,-20766.178758880946,-15980.603215766338,-28770.092579137396,-54712.28715327825,-23216.444041305072,-4162.006576300451,-24805.47425812176,-50943.24659624656,-40419.53121656552,A
-27328.405061770092,-59448.107713235346,-61007.47716515984,-14641.353743237703,-80459.17218436864,-178192.9124227658,-40934.89538847153,-37828.96403419543,-46749.41113584174,-26669.542690461003,-127407.60325284043,-62348.26890805589,-18534.49118548527,-53400.99971306321,-114138.46780520295,-91696.73522671881,A
-35570.52142268675,-50241.37946860546,-50774.982663987,-11118.741168825767,-69892.09442044431,-171486.83029256228,-32865.7591778945,-33367.466433938316,-40562.13534619038,-50921.09601749135,-124451.16036548142,-59849.120360508015,-12918.905963767287,-50342.09642912107,-108043.92940329664,-86526.15088536154,A
-23048.80595789027,-60348.86066303977,-61384.57344586533,-18304.156458873327,-80907.86110256448,-179324.44713407126,-41876.4849753958,-41334.43282061015,-39564.644046383386,-33879.23197498703,-122927.84427736334,-59001.318693318215,-16329.446891480315,-49891.574667879904,-110188.73574599455,-86270.111652626,A
-35259.80982301352,-57019.97065782198,-58501.98072218666,-10567.077763924333,-78067.60258288415,-176476.18668987593,-36102.69410642316,-33140.328006783486,-50957.50700920904,-36229.629663184845,-132462.9643515306,-66119.92461918887,-16849.57198495531,-56645.91421436241,-114957.45807378985,-95141.87665484866,A
-27663.39065592178,-56395.19469680723,-56823.00708568181,-16472.83333216111,-76507.45081990371,-176604.0386681603,-37424.46451478774,-38808.842159371634,-36682.58776457164,-49279.98623609379,-122520.170810243,-58453.05275357399,-12789.288197670961,-48914.22228982714,-106909.62307567873,-84095.68924852482,A
-27292.754029363878,-64675.8678169093,-66461.72749539942,-15305.64758844943,-86665.67047425157,-182522.71354469223,-41960.59458978112,-38273.830804089404,-51102.72629293517,-26488.024173739457,-132911.8320836821,-66507.23564711043,-18821.755805224875,-57228.87006150128,-116694.94857727869,-95942.09145809311,A
-35901.68486853658,-55281.2508083881,-55999.72528215949,-11560.881025896195,-76086.47806483247,-175687.5053867704,-33679.80971095678,-33588.56989009021,-45126.60743315309,-50691.38713972415,-130336.35232881932,-64115.7331008593,-13286.323939123624,-54364.717526998225,-110752.53614813522,-91109.01845801098,A
-23412.357081455837,-64888.94699680174,-65988.89869319185,-18668.46754175038,-86664.64229400663,-183161.2805320359,-42348.75498399198,-41525.048497325006,-43344.97223436502,-34295.82378814504,-128420.6066632994,-62787.65950055832,-16458.863491876542,-53521.52031916622,-112421.76442405755,-90374.04839683157,A
-35610.352231306104,-61290.40554647512,-62767.3641165929,-10904.700863921746,-83645.77098438394,-180093.77182647848,-36448.229723957746,-33350.680273852384,-54421.02157128115,-36265.347750824425,-137762.2053339726,-69612.5858560307,-17017.433585814666,-60097.157668728556,-117068.80385503816,-99109.4901096213,A
-28421.00303423441,-59805.757976264715,-60112.4909654249,-16665.460665876944,-81204.04406834174,-179558.26873281822,-37253.20544877117,-38824.44367700144,-39442.737632124146,-50142.204778457264,-127335.76474616108,-61434.82016740086,-12769.641014294746,-51950.17033221368,-108608.64622695997,-87574.04536891525,A
-27739.677159747742,-67608.64020689014,-69168.18847277027,-15591.951083177459,-90845.75961181636,-185102.0377996013,-41712.93726121631,-38452.600056242954,-52947.661632020674,-27273.15154947657,-136950.81465850052,-68800.47992473602,-18737.199155950446,-59683.11395443845,-117940.25366786167,-98732.550291127,A
-36412.981022951724,-57611.71074053177,-58020.88177453063,-11432.917288889563,-79633.5434476785,-177776.38766484114,-33145.290094052565,-33465.05415023019,-46685.64160891076,-51171.614369346426,-134025.73126861232,-66074.46117096677,-13213.90428708843,-56559.39061157592,-111809.23721900431,-93647.08139265554,A
-23906.174171706938,-66602.58818895677,-67287.22212162282,-18754.879385814595,-89485.58890647757,-184793.04728425114,-41702.81192097806,-41533.6539189403,-43940.892093287956,-35257.50759333463,-131278.88068901072,-64060.70310601033,-16243.63854451639,-55093.54085845243,-112978.99341332835,-92144.70888909209,A
-35907.608080817234,-62860.4367805048,-63899.74819418767,-11044.063990600585,-86295.14560641594,-181595.04909456364,-35973.63513393821,-33444.06586218665,-54889.603542042205,-36485.132454053455,-140326.50921660772,-70639.33558932967,-16977.26750102848,-61489.82781050537,-117650.30683878742,-100743.15676011525,A
-28921.77151701111,-60664.93668138226,-60457.020754459,-16473.146256583485,-83025.06304086007,-180504.08279944456,-36438.68552907533,-38638.87949453348,-39477.33813254096,-51047.025745752544,-129432.69365223571,-62088.47458225186,-12572.878607854678,-52989.50409764101,-108844.56888968575,-88782.38067416915,A
-27884.27059462912,-68275.2139300363,-69284.28343347114,-15639.895575034092,-92387.31472340999,-185902.09614063456,-41077.67833205203,-38499.42696087682,-52433.79502699316,-27801.4126779333,-138435.19400777746,-69003.36670915683,-18581.407497096956,-60306.90643869716,-117957.3974558589,-99459.65253825815,A
-36996.741532890985,-57890.0123107448,-57762.741477816286,-11400.26139024036,-80708.01415538957,-178263.78980443356,-32420.288910900228,-33388.90175687096,-46278.5716388907,-51553.5162751098,-135398.709523524,-66213.75724241225,-13141.395228075413,-57136.7361708565,-111887.28951064224,-94377.26818052151,A
-24227.45814650752,-66374.08630539016,-66469.84117863669,-18675.821265676175,-89900.39258007915,-184898.4804628468,-40879.19484128891,-41471.694883310185,-42779.40604441238,-36268.141718881336,-131891.76552197523,-63657.41058080323,-15989.901541459745,-55124.94505941213,-112592.48704820717,-92164.62429340176,A
-36114.31701353991,-62587.9243121057,-63085.36238495856,-11041.918223132876,-86597.69881936298,-181654.59414179256,-35358.537478272614,-33480.096874248615,-53772.26218846586,-36708.62754686207,-140730.04761100383,-70135.88489721833,-16906.367767616244,-61428.360513253276,-117355.91201256658,-100706.05286431944,A
-29517.043175344847,-59707.902039039385,-58949.596756648636,-16255.26145163315,-82484.93313609758,-180033.8020961049,-35494.100808394054,-38444.8216491725,-38032.8789988612,-51908.61843927127,-129414.43227701573,-61308.77868041738,-12351.752799958325,-52626.98115432038,-108292.6149121064,-88361.78789875364,A
-28005.998194932723,-67137.08545411652,-67606.36032895569,-15533.478919682375,-91534.97565209576,-185296.54267985138,-40278.37995033025,-38494.24135616319,-50448.73660191734,-28410.29654864032,-137751.67766233417,-67785.71072646508,-18353.039723997084,-59506.758690686074,-117141.20115532889,-98485.20588698458,A
-37534.546856230125,-56285.537038509494,-55674.50740033477,-11100.345683139049,-79270.79698691332,-177284.6939903133,-31420.98711979236,-33168.26768735262,-44409.09408439328,-52030.39074306378,-134555.512315692,-64950.66016324284,-12989.313958801504,-56280.19497158468,-111136.91909753313,-93363.2365898176,A
-24786.363516612473,-64132.1392812895,-63728.77970084902,-18540.593211721567,-87605.04723847476,-183439.49269527112,-39719.92161511441,-41368.18395473766,-40064.6078663597,-37416.70845946175,-130146.67542537159,-61789.11766876193,-15620.114281191145,-53644.07493401467,-111322.10330034535,-90321.92412876179,A
-36334.81697259152,-60182.11664940318,-60220.44989114403,-10804.09566212841,-84000.8284450565,-180033.55622691588,-34302.88693939292,-33379.69283815537,-50973.73437568359,-37200.34357313437,-138566.30934075228,-68056.83738670795,-16678.134104983106,-59740.22266152176,-116088.0540118282,-98625.01604855253,A
-30109.632624343947,-56575.126239672456,-55335.409085203304,-15780.59980638025,-78909.19046511537,-177837.98907255998,-34089.09250367791,-38117.994441747,-34847.77776572439,-52986.39720516172,-126681.1492062985,-58902.523982825755,-11954.875225409893,-50572.74408015538,-106693.16878237353,-85783.17889966714,A
-28256.82947121018,-63812.15170766732,-63785.01668989858,-15341.589193533564,-87531.37588875007,-182927.14600886655,-39052.565580912305,-38439.65839620333,-46698.00212359454,-29292.296384846733,-134242.56554157325,-64920.194735550256,-17980.88317881622,-56978.12819220164,-115305.83236287026,-95294.31555203385,A
-37941.52741927236,-52570.6100548041,-51477.20741953939,-10531.270269306931,-74672.66317280092,-174560.57513482275,-30020.337405244998,-32814.908959258675,-40804.11533166353,-52570.699461781915,-130803.43673270187,-62039.32309619464,-12706.340873997317,-53673.71334716241,-109355.10508478941,-90085.97911429156,A
-25070.856520039622,-59881.59744520157,-58945.752256602325,-17968.924995532634,-82189.3536674206,-180287.53909916154,-38170.56574470589,-41030.158523340055,-35702.26260450633,-38637.94072126636,-125497.35611645653,-58343.14922608724,-15128.13003398538,-50460.11363984509,-109043.36530487124,-86240.4061842449,A
-36488.39580874393,-55850.661498387046,-55383.06300438202,-10314.637162046094,-78305.26868167742,-176764.1218619492,-32905.54528302494,-33125.6205589319,-46627.61648030478,-37627.86538933103,-133536.18336155216,-64487.2190937065,-16363.846226197033,-56420.72038897519,-113913.38573853801,-94382.94552361316,A
